Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.19,False,8670,8860
0.238,False,18190,18428
0.255,False,23770,24025
0.236,False,32612,32848
0.227,False,38777,39004
0.277,False,50885,51162
0.206,False,56490,56696
0.563,True,63002,63565
0.0,True,67684,67684
0.13,False,72428,72558
0.239,False,78849,79088
0.234,False,87384,87618
0.216,False,93092,93308
0.284,False,101684,101968
0.274,False,107403,107677
0.324,False,114992,115316
0.196,False,120647,120843
0.287,False,129157,129444
0.193,False,134770,134963
0.441,False,143299,143740
0.25,False,148995,149245
0.344,False,154569,154913
0.232,False,160193,160425
0.244,False,169688,169932
0.255,False,175670,175925
0.2,False,184200,184400
0.184,False,189773,189957
0.362,False,201291,201653
0.265,False,207060,207325
0.344,False,214588,214932
0.2,False,220274,220474
0.302,False,227802,228104
0.49,False,233435,233925
0.439,False,239301,239740
0.267,False,245091,245358
0.245,False,255880,256125
0.452,False,261409,261861
0.32,False,272192,272512
0.184,False,278054,278238
0.469,False,282655,283124
0.234,False,288524,288758
