Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.21,False,8670,8880
0.26,False,18190,18450
0.198,False,23770,23968
0.228,False,32612,32840
0.223,False,38777,39000
0.243,False,50885,51128
0.196,False,56490,56686
0.398,True,63002,63400
0.0,True,67684,67684
0.151,False,72428,72579
0.231,False,78849,79080
0.252,False,87384,87636
0.238,False,93092,93330
0.306,False,101684,101990
0.259,False,107403,107662
0.304,False,114992,115296
0.217,False,120647,120864
0.309,False,129157,129466
0.205,False,134770,134975
0.329,False,143299,143628
0.206,False,148995,149201
0.333,False,154569,154902
0.195,False,160193,160388
0.266,False,169688,169954
0.214,False,175670,175884
0.2,False,184200,184400
0.207,False,189773,189980
0.349,False,201291,201640
0.252,False,207060,207312
0.364,False,214588,214952
0.22,False,220274,220494
0.326,False,227802,228128
0.457,False,233435,233892
0.461,False,239301,239762
0.241,False,245091,245332
0.222,False,255880,256102
0.436,False,261409,261845
0.342,False,272192,272534
0.207,False,278054,278261
0.407,False,282655,283062
0.184,False,288524,288708
