Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.05,False,8950,9000
0.424,False,17495,17919
0.302,False,23267,23569
0.376,False,27888,28264
0.2,False,33664,33864
0.248,False,40583,40831
0.214,False,46155,46369
0.453,False,49681,50134
0.205,False,55459,55664
0.057,False,61989,62046
0.233,False,67735,67968
0.244,False,78496,78740
0.38,False,84176,84556
0.254,False,92925,93179
0.316,False,98552,98868
0.297,False,107353,107650
0.255,False,113089,113344
0.227,False,122685,122912
0.287,False,128385,128672
0.38,False,135992,136372
0.24,False,141756,141996
0.561,True,151783,152344
0.25,False,156082,156332
0.261,False,162483,162744
0.395,False,172088,172483
0.217,False,177783,178000
0.342,False,187503,187845
0.209,False,193295,193504
0.303,False,203202,203505
0.257,False,208868,209125
0.376,False,214400,214776
0.217,False,220095,220312
0.398,False,226984,227382
0.226,False,232764,232990
