Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.185,False,8950,9135
0.424,False,17495,17919
0.302,False,23267,23569
0.415,False,27888,28303
0.213,False,33664,33877
0.258,False,40583,40841
0.258,False,46155,46413
0.431,False,49681,50112
0.214,False,55459,55673
0.3,False,61989,62289
0.29,False,67735,68025
0.224,False,78496,78720
0.368,False,84176,84544
0.276,False,92925,93201
0.373,False,98552,98925
0.327,False,107353,107680
0.272,False,113089,113361
0.285,False,122685,122970
0.34,False,128385,128725
0.36,False,135992,136352
0.219,False,141756,141975
0.59,True,151783,152373
0.259,False,156082,156341
0.274,False,162483,162757
0.372,False,172088,172460
0.267,False,177783,178050
0.354,False,187503,187857
0.242,False,193295,193537
0.306,False,203202,203508
0.232,False,208868,209100
0.425,False,214400,214825
0.254,False,220095,220349
0.376,False,226984,227360
0.241,False,232764,233005
