Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.261,False,8647,8908
0.372,False,22164,22536
0.34,False,27752,28092
1.03,True,30070,31100
0.822,True,40174,40996
0.29,False,45274,45564
0.294,False,50945,51239
0.312,False,56481,56793
0.322,False,62140,62462
0.261,False,77274,77535
0.454,False,82771,83225
0.357,False,92471,92828
0.226,False,98342,98568
0.326,False,110274,110600
0.33,False,115943,116273
0.352,False,122573,122925
0.282,False,128243,128525
0.347,False,139278,139625
0.278,False,144847,145125
0.293,False,155772,156065
0.374,False,161447,161821
0.59,True,171983,172573
0.393,False,180790,181183
0.298,False,186549,186847
0.607,False,195182,195789
0.254,False,201146,201400
0.749,False,206576,207325
0.278,False,212647,212925
0.339,False,220185,220524
0.483,False,225864,226347
0.321,False,234679,235000
0.248,False,240352,240600
0.396,False,244879,245275
0.245,False,250655,250900
