Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.367,False,11057,11424
0.326,False,22774,23100
0.276,False,28447,28723
0.468,False,37974,38442
0.266,False,43743,44009
0.284,False,55379,55663
0.357,False,61143,61500
0.337,False,70781,71118
0.282,False,76443,76725
0.269,False,82976,83245
0.232,False,88545,88777
0.307,False,99082,99389
0.278,False,104747,105025
0.415,False,117278,117693
0.32,False,122941,123261
0.323,False,133577,133900
0.851,False,139249,140100
0.33,False,146381,146711
0.256,False,152044,152300
0.663,True,157289,157952
0.45,False,161980,162430
0.371,False,167968,168339
0.341,False,177580,177921
0.3,False,183346,183646
0.324,False,190176,190500
0.25,False,195750,196000
0.414,False,209286,209700
0.234,False,215051,215285
0.44,False,219585,220025
0.256,False,225344,225600
0.323,False,234885,235208
0.393,False,240546,240939
