Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.218,False,12175,12393
0.427,False,19398,19825
0.189,False,25055,25244
0.291,False,33382,33673
0.28,False,39945,40225
0.304,False,49491,49795
0.263,False,55093,55356
0.722,False,61182,61904
0.482,False,67247,67729
0.378,False,76083,76461
0.248,False,81872,82120
0.41,False,88415,88825
0.21,False,94167,94377
0.4,False,97681,98081
0.255,False,104870,105125
0.334,False,113466,113800
0.231,False,119094,119325
0.581,True,129665,130246
0.42,False,134396,134816
0.245,False,140176,140421
0.414,False,150787,151201
0.467,False,156577,157044
0.35,False,167486,167836
0.469,False,173267,173736
0.369,False,181599,181968
0,False,187529,194540
0.448,False,194092,200150
0.273,False,199877,211000
0.512,False,210488,216625
0.225,False,216400,225756
0.859,False,224897,231464
0.233,False,231231,236200
0.422,False,235778,241971
0.407,False,241564,
