Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.465,False,8795,9260
0.362,False,27882,28244
0.304,False,34372,34676
0.306,False,42978,43284
0.261,False,48557,48818
0.566,True,53059,53625
0.232,False,59152,59384
0.258,False,64998,65256
0.187,False,70690,70877
0.611,False,76782,77393
0.574,True,79675,80249
0.286,False,86641,86927
0.275,False,92163,92438
0.754,False,104167,104921
0.16,False,111560,111720
0.982,False,122588,123570
0.235,False,128888,129123
0.358,False,141383,141741
0.298,False,147179,147477
0.42,False,152727,153147
0.261,False,158450,158711
0.519,True,161613,162132
0.424,False,165787,166211
0.488,False,171680,172168
0.364,False,180515,180879
0.276,False,186273,186549
0.546,False,194899,195445
0.341,False,200858,201199
0.326,False,210604,210930
0.202,False,216250,216452
0.5,False,222785,223285
0.226,False,228639,228865
0.351,False,243934,244285
0.191,False,249557,249748
