Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.275,False,8750,9025
0.283,False,21445,21728
0.251,False,27087,27338
0.404,False,35820,36224
0.201,False,41661,41862
0.337,False,51287,51624
0.211,False,56872,57083
0.356,False,61400,61756
0.201,False,67172,67373
0.381,False,72797,73178
0.253,False,78458,78711
0.339,False,85157,85496
0.224,False,90772,90996
0.29,False,97322,97612
0.281,False,102851,103132
0.447,False,109029,109476
0.371,False,114905,115276
0.412,False,119584,119996
0.25,False,125475,125725
0.343,False,136134,136477
0.598,False,141865,142463
0.356,False,154172,154528
0.814,False,161181,161995
0.651,False,170713,171364
0.235,False,176791,177026
0.247,False,186049,186296
0.181,False,191580,191761
0.381,False,203189,203570
0.447,False,208866,209313
0.35,False,216591,216941
0.396,False,222399,222795
0.368,False,233262,233630
0.291,False,239079,239370
0.485,False,246688,247173
0.32,False,252549,252869
