Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.484,False,8795,9279
0.338,False,27882,28220
0.321,False,34372,34693
0.319,False,42978,43297
0.263,False,48557,48820
0.576,True,53059,53635
0.537,False,59152,59689
0.318,False,64998,65316
0.473,False,70690,71163
0.589,False,76782,77371
0.574,True,79675,80249
0.292,False,86641,86933
0.296,False,92163,92459
0.758,False,104167,104925
0.211,False,111560,111771
1.037,False,122588,123625
0.214,False,128888,129102
0.369,False,141383,141752
0.346,False,147179,147525
0.442,False,152727,153169
0.275,False,158450,158725
0.543,True,161613,162156
0.452,False,165787,166239
0.489,False,171680,172169
0.345,False,180515,180860
0.253,False,186273,186526
0.527,False,194899,195426
0.367,False,200858,201225
0.372,False,210604,210976
0.227,False,216250,216477
0.521,False,222785,223306
0.234,False,228639,228873
0.366,False,243934,244300
0.268,False,249557,249825
