Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.258,False,12189,12447
0.336,False,27189,27525
0.183,False,32817,33000
0.368,False,42233,42601
0.326,False,47874,48200
0.323,False,55546,55869
0.244,False,61292,61536
0.385,False,69900,70285
0.28,False,75545,75825
0.445,False,85107,85552
0.257,False,90866,91123
0.292,False,97466,97758
0.25,False,103075,103325
0.354,False,110604,110958
0.228,False,116374,116602
0.322,False,124886,125208
0.348,False,130677,131025
0.295,False,142382,142677
0.371,False,148059,148430
0.7,True,157391,158091
0.293,False,162740,163033
0.199,False,168365,168564
0.335,False,174890,175225
0.422,False,180495,180917
0.254,False,191200,191454
0.34,False,196785,197125
0.57,False,200398,200968
0.248,False,206304,206552
0.33,False,216895,217225
0.359,False,223466,223825
0.432,False,229193,229625
0.483,False,234954,235437
0.255,False,243748,244003
0.461,False,249464,249925
0.308,False,258192,258500
0.212,False,263884,264096
0.533,False,271396,271929
0.219,False,277181,277400
0.323,False,285740,286063
0.216,False,291455,291671
