Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.292,False,12808,13100
0.832,True,24812,25644
0.312,False,29911,30223
0.277,False,35548,35825
0.452,True,38892,39344
0.362,False,44006,44368
0.273,False,49752,50025
0.657,True,56107,56764
0.329,False,60884,61213
0.69,False,66550,67240
0.377,False,76591,76968
0.311,False,82354,82665
0.353,False,90105,90458
0.261,False,95871,96132
0.744,True,97512,98256
0.519,False,105383,105902
0.303,False,111146,111449
0.517,True,116611,117128
0.775,True,121001,121776
0.377,False,125299,125676
0.27,False,131450,131720
0.681,True,133799,134480
0.509,True,140903,141412
1.208,True,145092,146300
0.345,False,149387,149732
0.241,False,155063,155304
0.505,True,160708,161213
0.524,False,166600,167124
0.298,False,172451,172749
0.75,True,173399,174149
0.035,False,178190,178225
0.231,False,183553,183784
0,True,186021,
