Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.269,False,11947,12216
0.685,False,23487,24172
0.308,False,29548,29856
0.238,False,37301,37539
0.331,True,37993,38324
0.279,False,43646,43925
0.467,False,51187,51654
0.218,False,56855,57073
0.34,False,65374,65714
0.207,False,71049,71256
0.592,False,75712,76304
0.185,False,81648,81833
0.332,False,88093,88425
1.507,False,93883,95390
0.417,False,104672,105089
0.284,False,110349,110633
1.116,True,111109,112225
0.32,False,119104,119424
0.213,False,124787,125000
0.613,False,135363,135976
0.262,False,141350,141612
0.373,False,149924,150297
0.235,False,155743,155978
0.599,True,161449,162048
0.298,False,166208,166506
0.272,False,171952,172224
0.429,True,175017,175446
0.376,False,179486,179862
0.197,False,185301,185498
