Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.333,False,11967,12300
0.403,False,26617,27020
0.64,False,32385,33025
0.513,False,39284,39797
0,False,45190,53325
0.511,False,52814,59010
0.413,False,58597,65545
0.453,False,65092,71231
0.268,False,70963,82102
0.429,False,81673,87712
0.246,False,87466,97110
0.326,False,96784,103900
0.643,False,103257,114841
0.457,False,114384,120560
0.277,False,120283,128546
0.611,False,127935,135000
0.331,False,134669,136024
0.675,True,135349,142000
0.614,False,141386,147825
0.458,False,147367,157525
0.487,False,157038,163375
0.41,False,162965,170164
0.476,False,169688,175840
0.376,False,175464,185764
0.557,False,185207,191433
0.339,False,191094,193700
0.905,False,192795,199325
0.33,False,198995,208953
0.363,False,208590,214600
0.274,False,214326,224800
0.555,False,224245,231153
0.984,False,230169,244528
0.286,False,244242,250237
0.299,False,249938,
