Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.333,False,11967,12300
0.399,False,26617,27016
0.636,False,32385,33021
0.537,False,39284,39821
0.323,False,45190,45513
0.44,False,52814,53254
0.403,False,58597,59000
0.433,False,65092,65525
0.265,False,70963,71228
0.427,False,81673,82100
0.269,False,87466,87735
0.322,False,96784,97106
0.643,False,103257,103900
0.477,False,114384,114861
0.275,False,120283,120558
0.607,False,127935,128542
0.356,False,134669,135025
0.051,True,135349,135400
0.614,False,141386,142000
0.383,False,147367,147750
0.438,False,157038,157476
0.396,False,162965,163361
0.5,False,169688,170188
0.336,False,175464,175800
0.507,False,185207,185714
0.306,False,191094,191400
0.905,False,192795,193700
0.279,False,198995,199274
0.322,False,208590,208912
0.299,False,214326,214625
0.555,False,224245,224800
0.955,False,230169,231124
0.258,False,244242,244500
0.265,False,249938,250203
