Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.415,False,8685,9100
0.595,False,20637,21232
0.294,False,26553,26847
0.484,False,36190,36674
0.677,False,41948,42625
0.501,False,46824,47325
1.06,False,52665,53725
1.007,False,65931,66938
0.308,False,72195,72503
0.552,False,79773,80325
0.417,False,85572,85989
0.539,False,97786,98325
0.317,False,103589,103906
0.645,False,108180,108825
0.241,False,114259,114500
0.693,True,115376,116069
0.359,False,124794,125153
0.87,False,130455,131325
0.434,False,139591,140025
0.621,False,145388,146009
0.522,False,153333,153855
0.689,False,159211,159900
0.522,False,171178,171700
0.309,False,176890,177199
0.532,False,185593,186125
0.442,False,191458,191900
0.965,False,201100,202065
0.337,False,208763,209100
0.627,False,215598,216225
0.462,False,221563,222025
0.649,False,230292,230941
0.565,False,236285,236850
0.401,False,246199,246600
0.552,False,251869,252421
0.667,False,261863,262530
0.261,False,267868,268129
