Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.415,False,11978,12393
0.526,False,21710,22236
0.989,False,27671,28660
0.701,False,43583,44284
0.328,False,49688,50016
0.474,False,60384,60858
0.302,False,66174,66476
0.454,False,73782,74236
0.624,False,79680,80304
0.733,True,86992,87725
0.665,False,91569,92234
0.594,False,97566,98160
0.432,False,108552,108984
0.284,False,114372,114656
0.925,False,123179,124104
0.289,False,129378,129667
0.441,False,137995,138436
0.828,False,143881,144709
0.523,False,153145,153668
0.61,False,159115,159725
0.807,False,167240,168047
0.341,False,173459,173800
0.421,False,182104,182525
0.336,False,187852,188188
0.77,False,197602,198372
0.301,False,203679,203980
