Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.446,False,8879,9325
0.435,False,31865,32300
0.782,False,37595,38377
0.434,False,48791,49225
0.433,False,54592,55025
0.435,False,64290,64725
0.331,False,70094,70425
0.598,True,76902,77500
0.396,False,81581,81977
0.216,False,87356,87572
0.731,False,96925,97656
0.546,False,102979,103525
0.418,False,113882,114300
0.663,False,119575,120238
0.687,True,124876,125563
0.532,False,130668,131200
0.677,False,136656,137333
0.394,False,146016,146410
0.354,False,152478,152832
0.45,False,161201,161651
0.651,False,166974,167625
0,False,172886,
