Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.557,False,11151,11708
0.416,False,23084,23500
0.33,False,28846,29176
0.524,False,31476,32000
0.298,False,37350,37648
0.527,False,48973,49500
0.217,False,54851,55068
0.47,False,66375,66845
0.29,False,72263,72553
0.484,False,82883,83367
0.281,False,88744,89025
0.297,False,94273,94570
0.339,False,99954,100293
0.37,False,110998,111368
0.2,False,116844,117044
0.683,False,127585,128268
0.306,False,133646,133952
0.266,False,143900,144166
0.272,False,149472,149744
0.455,False,156174,156629
0.235,False,161865,162100
0.473,False,167376,167849
0.265,False,173449,173714
0.349,False,178989,179338
0.474,False,184551,185025
