Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.213,False,8659,8872
0.433,False,17188,17621
0.399,False,22859,23258
0.524,False,31595,32119
0.3,False,37440,37740
0.46,False,54469,54929
0.318,False,60236,60554
0.365,False,71766,72131
0.25,False,77537,77787
0.368,False,88864,89232
0.243,False,94634,94877
0.625,False,104214,104839
0.329,False,110136,110465
0.269,False,121081,121350
0.242,False,126661,126903
0.423,False,141177,141600
0.228,False,146840,147068
0.659,True,153578,154237
0.456,False,157868,158324
0.266,False,163545,163811
0.631,False,171094,171725
0.293,False,177042,177335
0.468,False,184671,185139
0.241,False,190439,190680
0.656,False,197577,198233
0.275,False,203549,203824
0.553,False,212073,212626
0.496,False,217948,218444
