Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.217,False,8659,8876
0.437,False,17188,17625
0.375,False,22859,23234
0.527,False,31595,32122
0.301,False,37440,37741
0.472,False,54469,54941
0.326,False,60236,60562
0.366,False,71766,72132
0.256,False,77537,77793
0.409,False,88864,89273
0.22,False,94634,94854
0.602,False,104214,104816
0.33,False,110136,110466
0.271,False,121081,121352
0.264,False,126661,126925
0.453,False,141177,141630
0.284,False,146840,147124
0.668,True,153578,154246
0.432,False,157868,158300
0.28,False,163545,163825
0.631,False,171094,171725
0.303,False,177042,177345
0.482,False,184671,185153
0.269,False,190439,190708
0.664,False,197577,198241
0.276,False,203549,203825
0.555,False,212073,212628
0.496,False,217948,218444
