Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.256,False,12189,12445
0.291,False,27189,27480
0.183,False,32817,33000
0.303,False,42233,42536
0.326,False,47874,48200
0.28,False,55546,55826
0.259,False,61292,61551
0.384,False,69900,70284
0.194,False,75545,75739
0.33,False,85107,85437
0.251,False,90866,91117
0.309,False,97466,97775
0.225,False,103075,103300
0.352,False,110604,110956
0.249,False,116374,116623
0.345,False,124886,125231
0.34,False,130677,131017
0.273,False,142382,142655
0.365,False,148059,148424
0.635,True,157391,158026
0.26,False,162740,163000
0.216,False,168365,168581
0.331,False,174890,175221
0.377,False,180495,180872
0.276,False,191200,191476
0.34,False,196785,197125
0.495,False,200398,200893
0.241,False,206304,206545
0.33,False,216895,217225
0.359,False,223466,223825
0.315,False,229193,229508
0.442,False,234954,235396
0.277,False,243748,244025
0.354,False,249464,249818
0.333,False,258192,258525
0.21,False,263884,264094
0.452,False,271396,271848
0.215,False,277181,277396
0.288,False,285740,286028
0.23,False,291455,291685
