Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.192,False,8985,9177
0.314,False,21511,21825
0.247,False,27092,27339
0.356,False,38352,38708
0.217,False,44008,44225
0.353,False,51509,51862
0.244,False,57189,57433
0.318,True,59469,59787
0.525,True,67518,68043
0.291,False,72109,72400
0.736,False,77682,78418
0.233,False,89387,89620
0.208,False,95015,95223
0.235,False,104465,104700
0.184,False,110076,110260
0.379,False,120652,121031
0.19,False,126276,126466
0.195,False,132930,133125
0.211,False,138472,138683
0.233,False,150016,150249
0.446,False,165586,157032
0.206,False,169146,169352
0.216,False,174825,175041
0.479,True,181878,182357
0.294,False,186236,186530
0.234,False,192679,192913
0.248,False,202204,202452
0.317,False,207908,208225
